,Glen's Draft,Mark's proposal
,Sarah Jacobson,
,Blessed Mother,Holy Momma
,,Little Red Cyber Hood
,"Anthony ""Cracker"" Hardy","Anthony ""Tones"" Supaporn"
,Great Teacher,
,,Mr Fairy Boxers
,Emil Kalheri,
,John Lee,Travis Teh
,Breezy Brains,
,Special Agent Jones,Special Agent Ajent Jones
,Kathy Logan,
,Hayley Lanning,
,,Three Sisters
,Damien Hardman,"Gerald  ""Very"" Hardman"
,Eloise Shakti,
,Kleoboulos (Kleo),"Kleoboulos ""Kleo"" Windus"
,Silo,"Silon ""Silo"" Athena"
,Chilo,"Chilon ""Chilo"" Damagetus"
,The High Elvis,
,,Corporal Sman
,,Captain Junkers
,,Dick van Dyke
,,Rick van Reich
,Alexander Shakti,Alexander Caesar Koalemos
Alexander's father,,Lysander Caesar Koalemos
,"Haloren ""Halo"" Smythe",
,Nightclub Vampire,
,CEO,Piotr Dunhilton
,,Serene Corporateness
,,Stasis Anomalies Investigator Chip Stockwell
,,Missus Chuglingham
,Abe,
,Major,
,Avi Grubler,
,,Nancy
,Elvine,Lonnie Elvis
,,"Minister of Defence, Border Walls, and Trade"
,,Director of Foreign Affairs
,,Commissioner of Elvi Rights
,,Director of Defence
,Director of Moral Observance,
,,Director of Freedom
,,Director of Tourism
,,Director of Housing
,,Refrigeration Ombudsman
,,President of the Humpty Doo Tank Battle Reenactment Club
,,Captain Denver A. Elvis
,Ahmed Siddig,
,John Stoat (the Johnny),
,Orion Contolan,
,,Hamish Hammersmith
,,Stacy & Macy
,,Blake Mudrake
,Business Theology Manager,Very Arch Business Bishop
,,Ignatius d’Molesto
,,Jody
,,T’ing O’Mugden
,,Little Richard
,the Dawkins,
,the One after the One,
,,Tulsa McLean
,,Dr Nick
,,Dr John
,"Jameson Hardy, Jamison Hardy",Jamison Hardy
,Andrea Novetine,
,James Marrin,
,Zuckerburg the Redeemer,Saint Zucker
,,Narc Elvis
,Dunning Kruger,Dewey Dunning-Kruger
,Linus Grayling,
,,Elmer Elvis
,Professor Hamish Hermann,
,Doctor Janine Anstey,
Dunhilton's PA,,Genevieve
Kathy's technician,,Constance
,,High Tea Lady of the Ulyssian Tax Office
the Johnny's dog,,Leviathan (Levi)
the Johnny's previous dog,,Gigantor (Gigi)
,,Leon Husk
a lab tech,,Saunders
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
