Type	Label	Internal ID	Compact Display	Summary	Chronological Position	Narrative Position	Color	Parent	Ongoing	Start Date	Latest Start Date	Earliest End Date	End Date	Duration	Child Range	Tags	Blocked by	Blocks	Constraints	Links	Image (Links only)	Participant	Participant (Compact display)	Observer	Observer (Compact display)	Story Arc	Story Arc (Compact display)	Location	Location (Compact display)	Relates to	Relates to (Compact display)	Tension	Complete
"Event"	"Sarah celebrates her promotion"	"EV115"	"Sarah celebrates her promotion"		1		#9FA8DA		False	2370-03-13 21:00			2370-03-14 02:42	"5 hours, 42 minutes"		""	""	""	"Start is before start of Sarah meets Tony 0 seconds
Start is before start of Murder Day -2 days, -3 hours"	""		"Sarah Jacobson
John Stoat"	"Sarah Jacobson
John Stoat"	""	""	"The Rise of the Elvi
Holy Momma"	"The Rise of the Elvi
Holy Momma"	"Blue Suede Bar"	"Blue Suede Bar"	""	""		
"Event"	"Murder Day"	"EV242"	"Murder Day"		2		#ffffff		False	2370-03-16			2370-03-16	"1 day"		""	""	""	"Start is before start of Travis Teh's murder -2 hours
Start is before start of Sarah meets Tony -8 hours
Start is before start of Tony meets his drinking buddie -16 hours
Start is after start of Sarah celebrates her promotion 2 days, 3 hours"	""		""	""	""	""	""	""	""	""	""	""		
"Event"	"Travis Teh's murder"	"EV91"	"Travis Teh's murder"		3		#9FA8DA		False	2370-03-16 02:00			2370-03-16 02:00:42	"42 seconds"		""	""	""	"End is before start of Emil walks into a bar -20 minutes
End is before start of Chip investigates a stasis ano -8 hours
Start is after start of Murder Day 2 hours"	""		"Emil Kalheri
Travis Teh"	"Emil Kalheri
Travis Teh"	""	""	"Gyges Disc Research
Travis Teh’s Murder"	"Gyges Disc Research
Travis Teh’s Murder"	"Sarah’s Office"	"Sarah’s Office"	""	""		
"Event"	"Emil walks into a bar"	"EV102"	"Emil walks into a bar"		4		#9FA8DA		False	2370-03-16 02:20:42			2370-03-16 05:20:42	"3 hours"		""	""	""	"End is before start of The surveillance guys gather 0 seconds
Start is after end of Travis Teh's murder 20 minutes
End is before start of Tony meets Emil 0 seconds"	""		"Emil Kalheri"	"Emil Kalheri"	""	""	"Agent Jones wants the Gyges Disc"	"Agent Jones wants the Gyges Di"	"A bar"	"A bar"	""	""		
"Event"	"The surveillance guys gather"	"EV63"	"The surveillance guys gather"		5		#9FA8DA		False	2370-03-16 05:20:42			2370-03-16 06:02:42	"42 minutes"		""	""	""	"Start is after end of Emil walks into a bar 0 seconds
End is before start of Tony meets Emil 0 seconds"	""		"Dick van Dyke
Rick van Reich"	"Dick van Dyke
Rick van Reich"	""	""	"Agent Jones wants the Gyges Disc"	"Agent Jones wants the Gyges Di"	"Outside the Bar"	"Outside the Bar"	""	""		
"Event"	"Sarah meets Tony"	"EV131"	"Sarah meets Tony"		6		"Pink"		False	2370-03-16 08:00			2370-03-16 08:42	"42 minutes"		""	""	""	"Start is after start of Sarah celebrates her promotion 0 seconds
End is before start of Tony meets Emil 0 seconds
End is before start of Sarah meets Ajent 0 seconds
Start is after start of Murder Day 8 hours"	""		"Tony Chantara
Sarah Jacobson"	"Tony Chantara
Sarah Jacobson"	""	""	"Sarah & Tony
Travis Teh’s Murder"	"Sarah & Tony
Travis Teh’s Murder"	"Sarah’s Office"	"Sarah’s Office"	""	""	"0"	
"Event"	"Tony meets Emil"	"EV30"	"Tony meets Emil"		7		"Pink"		False	2370-03-16 08:42:00			2370-03-16 08:46:02	"4 minutes, 2 seconds"		""	""	""	"Start is after end of Sarah meets Tony 0 seconds
End is before start of Sarah meets Ajent 0 seconds
End is before start of Tony meets his drinking buddie 0 seconds
Start is after end of Emil walks into a bar 0 seconds
Start is after end of The surveillance guys gather 0 seconds"	""		"Tony Chantara
Emil Kalheri"	"Tony Chantara
Emil Kalheri"	""	""	"Gyges Disc Research"	"Gyges Disc Research"	"Outside the Bar"	"Outside the Bar"	""	""		
"Event"	"Sarah meets Ajent"	"EV64"	"Sarah meets Ajent"		8		"Pink"		False	2370-03-16 08:46:02			2370-03-16 08:50:04	"4 minutes, 2 seconds"		""	""	""	"End is before start of Sarah checks on Tony 0 seconds
Start is after end of Sarah meets Tony 0 seconds
Start is after end of Tony meets Emil 0 seconds
End is before start of Ajent is not human 0 seconds
End is before start of Emil in the Morgue 0 seconds"	""		"Sarah Jacobson
Special Agent Ajent Jones"	"Sarah Jacobson
Special Agent Ajent Jones"	""	""	"Travis Teh’s Murder
Agent Jones wants the Gyges Disc"	"Travis Teh’s Murder
Agent Jones wants the Gyges Di"	"Sarah’s Office"	"Sarah’s Office"	""	""		
"Event"	"Ajent is not human"	"EV34"	"Ajent is not human"		9		#9FA8DA		False	2370-03-16 08:50:04			2370-03-16 09:32:04	"42 minutes"		""	""	""	"Start is after end of Sarah meets Ajent 0 seconds
End is before start of Emil in the Morgue -42 seconds"	""		"Special Agent Ajent Jones"	"Special Agent Ajent Jones"	""	""	"Agent Jones wants the Gyges Disc"	"Agent Jones wants the Gyges Di"	""	""	""	""		
"Event"	"Sarah checks on Tony"	"EV142"	"Sarah checks on Tony"		10		#9FA8DA		False	2370-03-16 08:50:04			2370-03-16 10:20:04	"1 hour, 30 minutes"		""	""	""	"Start is after end of Sarah meets Ajent 0 seconds
End is before start of Sarah rescues Tony 0 seconds"	""		"Sarah Jacobson"	"Sarah Jacobson"	""	""	"Sarah & Tony"	"Sarah & Tony"	"Sarah’s Office"	"Sarah’s Office"	""	""		
